Web Search interest: snowboard; snowboarding; Skiing; Snowshoe
Worldwide; 2004 - present

Interest over time
Week,snowboard,snowboarding,Skiing,Snowshoe
2005-01-02 - 2005-01-08,39,13,88,6
2005-01-09 - 2005-01-15,36,13,84,6
2005-01-16 - 2005-01-22,35,12,81,6
2005-01-23 - 2005-01-29,35,12,80,6
2005-01-30 - 2005-02-05,36,12,72,5
2005-02-06 - 2005-02-12,31,9,72,4
2005-02-13 - 2005-02-19,28,9,65,4
2005-02-20 - 2005-02-26,28,9,64,4
2005-02-27 - 2005-03-05,27,9,55,4
2005-03-06 - 2005-03-12,23,8,50,3
2005-03-13 - 2005-03-19,20,7,43,2
2005-03-20 - 2005-03-26,16,6,37,2
2005-03-27 - 2005-04-02,13,5,28,1
2005-04-03 - 2005-04-09,10,5,21,1
2005-04-10 - 2005-04-16,9,4,18,1
2005-04-17 - 2005-04-23,8,4,17,1
2005-04-24 - 2005-04-30,7,4,17,1
2005-05-01 - 2005-05-07,7,4,16,1
2005-05-08 - 2005-05-14,7,3,14,0
2005-05-15 - 2005-05-21,7,3,15,0
2005-05-22 - 2005-05-28,6,3,14,1
2005-05-29 - 2005-06-04,6,3,14,1
2005-06-05 - 2005-06-11,7,3,13,0
2005-06-12 - 2005-06-18,7,3,13,0
2005-06-19 - 2005-06-25,6,3,11,1
2005-06-26 - 2005-07-02,7,3,12,0
2005-07-03 - 2005-07-09,7,3,12,0
2005-07-10 - 2005-07-16,8,3,12,0
2005-07-17 - 2005-07-23,8,3,13,0
2005-07-24 - 2005-07-30,9,3,13,1
2005-07-31 - 2005-08-06,10,3,14,1
2005-08-07 - 2005-08-13,10,4,14,0
2005-08-14 - 2005-08-20,11,4,16,1
2005-08-21 - 2005-08-27,12,5,16,1
2005-08-28 - 2005-09-03,11,4,16,1
2005-09-04 - 2005-09-10,13,5,17,1
2005-09-11 - 2005-09-17,15,6,20,1
2005-09-18 - 2005-09-24,16,6,20,1
2005-09-25 - 2005-10-01,18,6,22,1
2005-10-02 - 2005-10-08,18,7,23,1
2005-10-09 - 2005-10-15,22,8,27,1
2005-10-16 - 2005-10-22,22,8,27,2
2005-10-23 - 2005-10-29,23,8,31,2
2005-10-30 - 2005-11-05,23,8,33,2
2005-11-06 - 2005-11-12,27,10,37,2
2005-11-13 - 2005-11-19,31,11,42,3
2005-11-20 - 2005-11-26,36,10,50,4
2005-11-27 - 2005-12-03,41,14,56,5
2005-12-04 - 2005-12-10,42,15,62,6
2005-12-11 - 2005-12-17,45,15,69,6
2005-12-18 - 2005-12-24,41,13,71,6
2005-12-25 - 2005-12-31,43,13,85,8
2006-01-01 - 2006-01-07,39,13,79,7
2006-01-08 - 2006-01-14,39,13,75,6
2006-01-15 - 2006-01-21,35,12,68,6
2006-01-22 - 2006-01-28,33,11,65,5
2006-01-29 - 2006-02-04,31,11,62,4
2006-02-05 - 2006-02-11,30,13,64,4
2006-02-12 - 2006-02-18,47,24,76,4
2006-02-19 - 2006-02-25,36,17,71,4
2006-02-26 - 2006-03-04,28,13,55,3
2006-03-05 - 2006-03-11,23,10,44,2
2006-03-12 - 2006-03-18,20,8,37,2
2006-03-19 - 2006-03-25,17,7,31,2
2006-03-26 - 2006-04-01,14,5,24,1
2006-04-02 - 2006-04-08,10,4,20,1
2006-04-09 - 2006-04-15,10,4,19,1
2006-04-16 - 2006-04-22,9,3,16,1
2006-04-23 - 2006-04-29,8,3,14,1
2006-04-30 - 2006-05-06,6,3,14,0
2006-05-07 - 2006-05-13,6,3,13,0
2006-05-14 - 2006-05-20,6,3,12,0
2006-05-21 - 2006-05-27,6,3,11,0
2006-05-28 - 2006-06-03,6,3,11,0
2006-06-04 - 2006-06-10,6,2,11,0
2006-06-11 - 2006-06-17,6,2,10,0
2006-06-18 - 2006-06-24,6,2,10,0
2006-06-25 - 2006-07-01,5,2,10,0
2006-07-02 - 2006-07-08,6,2,10,0
2006-07-09 - 2006-07-15,6,3,11,0
2006-07-16 - 2006-07-22,7,3,11,0
2006-07-23 - 2006-07-29,8,3,12,0
2006-07-30 - 2006-08-05,9,3,12,0
2006-08-06 - 2006-08-12,9,4,12,1
2006-08-13 - 2006-08-19,11,3,13,1
2006-08-20 - 2006-08-26,11,3,14,1
2006-08-27 - 2006-09-02,12,3,14,1
2006-09-03 - 2006-09-09,12,4,16,1
2006-09-10 - 2006-09-16,13,5,17,1
2006-09-17 - 2006-09-23,14,5,18,1
2006-09-24 - 2006-09-30,16,6,19,1
2006-10-01 - 2006-10-07,17,7,21,1
2006-10-08 - 2006-10-14,19,7,23,1
2006-10-15 - 2006-10-21,21,7,26,2
2006-10-22 - 2006-10-28,22,7,26,1
2006-10-29 - 2006-11-04,24,8,30,2
2006-11-05 - 2006-11-11,26,8,31,2
2006-11-12 - 2006-11-18,28,9,35,2
2006-11-19 - 2006-11-25,28,9,37,3
2006-11-26 - 2006-12-02,29,10,40,4
2006-12-03 - 2006-12-09,32,11,45,4
2006-12-10 - 2006-12-16,31,11,47,4
2006-12-17 - 2006-12-23,30,11,54,4
2006-12-24 - 2006-12-30,32,10,70,4
2006-12-31 - 2007-01-06,29,9,63,4
2007-01-07 - 2007-01-13,25,9,59,3
2007-01-14 - 2007-01-20,24,9,53,3
2007-01-21 - 2007-01-27,25,9,60,4
2007-01-28 - 2007-02-03,27,9,57,3
2007-02-04 - 2007-02-10,23,9,53,3
2007-02-11 - 2007-02-17,23,8,52,3
2007-02-18 - 2007-02-24,22,8,49,3
2007-02-25 - 2007-03-03,18,7,37,2
2007-03-04 - 2007-03-10,17,6,31,2
2007-03-11 - 2007-03-17,13,5,28,1
2007-03-18 - 2007-03-24,11,5,24,1
2007-03-25 - 2007-03-31,9,4,20,1
2007-04-01 - 2007-04-07,8,3,16,1
2007-04-08 - 2007-04-14,7,3,14,1
2007-04-15 - 2007-04-21,6,3,11,0
2007-04-22 - 2007-04-28,5,3,11,0
2007-04-29 - 2007-05-05,5,2,10,0
2007-05-06 - 2007-05-12,5,2,10,0
2007-05-13 - 2007-05-19,5,2,9,0
2007-05-20 - 2007-05-26,4,2,9,0
2007-05-27 - 2007-06-02,5,2,10,0
2007-06-03 - 2007-06-09,5,2,9,0
2007-06-10 - 2007-06-16,5,2,9,0
2007-06-17 - 2007-06-23,5,2,9,0
2007-06-24 - 2007-06-30,5,2,9,0
2007-07-01 - 2007-07-07,5,2,9,0
2007-07-08 - 2007-07-14,6,2,10,0
2007-07-15 - 2007-07-21,6,3,10,0
2007-07-22 - 2007-07-28,6,3,10,1
2007-07-29 - 2007-08-04,7,3,10,1
2007-08-05 - 2007-08-11,7,3,11,0
2007-08-12 - 2007-08-18,7,3,11,0
2007-08-19 - 2007-08-25,8,3,12,1
2007-08-26 - 2007-09-01,8,4,11,1
2007-09-02 - 2007-09-08,9,3,13,1
2007-09-09 - 2007-09-15,10,4,14,1
2007-09-16 - 2007-09-22,11,4,14,1
2007-09-23 - 2007-09-29,12,4,15,1
2007-09-30 - 2007-10-06,13,5,17,1
2007-10-07 - 2007-10-13,14,5,17,1
2007-10-14 - 2007-10-20,15,5,19,1
2007-10-21 - 2007-10-27,16,5,21,1
2007-10-28 - 2007-11-03,17,5,23,1
2007-11-04 - 2007-11-10,19,7,25,2
2007-11-11 - 2007-11-17,22,7,30,2
2007-11-18 - 2007-11-24,24,7,36,3
2007-11-25 - 2007-12-01,26,8,38,3
2007-12-02 - 2007-12-08,27,10,41,4
2007-12-09 - 2007-12-15,28,10,43,4
2007-12-16 - 2007-12-22,29,10,49,5
2007-12-23 - 2007-12-29,34,10,64,6
2007-12-30 - 2008-01-05,32,11,66,7
2008-01-06 - 2008-01-12,28,9,60,5
2008-01-13 - 2008-01-19,25,9,57,5
2008-01-20 - 2008-01-26,24,8,54,4
2008-01-27 - 2008-02-02,24,9,51,4
2008-02-03 - 2008-02-09,21,7,51,4
2008-02-10 - 2008-02-16,19,7,44,4
2008-02-17 - 2008-02-23,19,7,42,3
2008-02-24 - 2008-03-01,17,6,34,2
2008-03-02 - 2008-03-08,15,5,32,2
2008-03-09 - 2008-03-15,12,5,28,2
2008-03-16 - 2008-03-22,12,4,24,1
2008-03-23 - 2008-03-29,10,4,21,1
2008-03-30 - 2008-04-05,9,3,16,1
2008-04-06 - 2008-04-12,7,3,13,1
2008-04-13 - 2008-04-19,6,2,12,0
2008-04-20 - 2008-04-26,5,2,10,0
2008-04-27 - 2008-05-03,5,2,10,0
2008-05-04 - 2008-05-10,4,2,9,0
2008-05-11 - 2008-05-17,4,2,8,0
2008-05-18 - 2008-05-24,4,2,9,0
2008-05-25 - 2008-05-31,4,2,8,0
2008-06-01 - 2008-06-07,4,2,8,0
2008-06-08 - 2008-06-14,4,2,8,0
2008-06-15 - 2008-06-21,4,2,8,0
2008-06-22 - 2008-06-28,4,2,8,0
2008-06-29 - 2008-07-05,4,2,8,0
2008-07-06 - 2008-07-12,5,2,9,0
2008-07-13 - 2008-07-19,5,2,9,0
2008-07-20 - 2008-07-26,5,2,9,0
2008-07-27 - 2008-08-02,6,2,9,0
2008-08-03 - 2008-08-09,7,3,9,0
2008-08-10 - 2008-08-16,7,3,10,0
2008-08-17 - 2008-08-23,7,3,10,0
2008-08-24 - 2008-08-30,8,3,11,0
2008-08-31 - 2008-09-06,8,3,11,0
2008-09-07 - 2008-09-13,9,3,12,1
2008-09-14 - 2008-09-20,10,4,13,1
2008-09-21 - 2008-09-27,11,4,13,1
2008-09-28 - 2008-10-04,12,4,15,1
2008-10-05 - 2008-10-11,13,5,16,1
2008-10-12 - 2008-10-18,13,5,16,1
2008-10-19 - 2008-10-25,15,5,18,1
2008-10-26 - 2008-11-01,15,5,20,1
2008-11-02 - 2008-11-08,17,6,22,1
2008-11-09 - 2008-11-15,19,9,24,2
2008-11-16 - 2008-11-22,21,11,28,2
2008-11-23 - 2008-11-29,25,11,33,3
2008-11-30 - 2008-12-06,26,12,36,3
2008-12-07 - 2008-12-13,29,13,38,4
2008-12-14 - 2008-12-20,29,13,42,5
2008-12-21 - 2008-12-27,32,15,56,6
2008-12-28 - 2009-01-03,31,14,62,7
2009-01-04 - 2009-01-10,31,11,61,6
2009-01-11 - 2009-01-17,28,10,52,5
2009-01-18 - 2009-01-24,24,9,48,4
2009-01-25 - 2009-01-31,23,10,46,4
2009-02-01 - 2009-02-07,22,9,43,4
2009-02-08 - 2009-02-14,19,7,41,3
2009-02-15 - 2009-02-21,20,7,39,3
2009-02-22 - 2009-02-28,18,7,34,3
2009-03-01 - 2009-03-07,15,6,29,2
2009-03-08 - 2009-03-14,13,5,25,2
2009-03-15 - 2009-03-21,11,4,27,1
2009-03-22 - 2009-03-28,10,4,19,1
2009-03-29 - 2009-04-04,8,3,15,1
2009-04-05 - 2009-04-11,7,3,12,1
2009-04-12 - 2009-04-18,6,3,10,1
2009-04-19 - 2009-04-25,5,2,9,0
2009-04-26 - 2009-05-02,5,2,8,0
2009-05-03 - 2009-05-09,5,2,8,0
2009-05-10 - 2009-05-16,5,2,7,0
2009-05-17 - 2009-05-23,4,2,7,0
2009-05-24 - 2009-05-30,5,2,7,0
2009-05-31 - 2009-06-06,5,2,7,0
2009-06-07 - 2009-06-13,5,2,7,0
2009-06-14 - 2009-06-20,5,2,7,0
2009-06-21 - 2009-06-27,5,2,7,0
2009-06-28 - 2009-07-04,5,2,7,0
2009-07-05 - 2009-07-11,5,2,8,0
2009-07-12 - 2009-07-18,6,2,8,0
2009-07-19 - 2009-07-25,5,2,8,0
2009-07-26 - 2009-08-01,6,3,8,0
2009-08-02 - 2009-08-08,6,2,10,0
2009-08-09 - 2009-08-15,7,3,10,0
2009-08-16 - 2009-08-22,7,3,9,0
2009-08-23 - 2009-08-29,8,3,10,0
2009-08-30 - 2009-09-05,8,3,11,1
2009-09-06 - 2009-09-12,9,3,11,1
2009-09-13 - 2009-09-19,9,3,11,1
2009-09-20 - 2009-09-26,10,3,11,1
2009-09-27 - 2009-10-03,11,4,12,1
2009-10-04 - 2009-10-10,13,4,13,1
2009-10-11 - 2009-10-17,15,5,16,1
2009-10-18 - 2009-10-24,15,5,16,1
2009-10-25 - 2009-10-31,15,5,17,1
2009-11-01 - 2009-11-07,17,5,19,1
2009-11-08 - 2009-11-14,18,5,21,2
2009-11-15 - 2009-11-21,18,6,23,2
2009-11-22 - 2009-11-28,19,6,25,2
2009-11-29 - 2009-12-05,21,7,30,3
2009-12-06 - 2009-12-12,25,8,32,3
2009-12-13 - 2009-12-19,27,8,40,4
2009-12-20 - 2009-12-26,30,9,45,5
2009-12-27 - 2010-01-02,27,9,53,6
2010-01-03 - 2010-01-09,28,10,53,6
2010-01-10 - 2010-01-16,26,8,51,5
2010-01-17 - 2010-01-23,24,8,45,4
2010-01-24 - 2010-01-30,22,7,42,4
2010-01-31 - 2010-02-06,23,8,44,4
2010-02-07 - 2010-02-13,23,8,46,4
2010-02-14 - 2010-02-20,44,22,64,4
2010-02-21 - 2010-02-27,26,12,51,3
2010-02-28 - 2010-03-06,19,8,32,2
2010-03-07 - 2010-03-13,15,5,26,2
2010-03-14 - 2010-03-20,12,4,21,1
2010-03-21 - 2010-03-27,10,3,16,1
2010-03-28 - 2010-04-03,8,3,14,1
2010-04-04 - 2010-04-10,7,2,11,1
2010-04-11 - 2010-04-17,6,2,9,0
2010-04-18 - 2010-04-24,5,2,8,0
2010-04-25 - 2010-05-01,4,2,7,0
2010-05-02 - 2010-05-08,5,2,7,0
2010-05-09 - 2010-05-15,4,2,7,0
2010-05-16 - 2010-05-22,4,2,6,0
2010-05-23 - 2010-05-29,4,2,6,0
2010-05-30 - 2010-06-05,4,2,6,0
2010-06-06 - 2010-06-12,4,2,6,0
2010-06-13 - 2010-06-19,4,1,6,0
2010-06-20 - 2010-06-26,4,2,6,0
2010-06-27 - 2010-07-03,4,2,6,0
2010-07-04 - 2010-07-10,4,1,7,0
2010-07-11 - 2010-07-17,4,2,7,0
2010-07-18 - 2010-07-24,5,2,7,0
2010-07-25 - 2010-07-31,5,2,8,0
2010-08-01 - 2010-08-07,5,2,7,0
2010-08-08 - 2010-08-14,6,2,8,0
2010-08-15 - 2010-08-21,6,2,8,0
2010-08-22 - 2010-08-28,6,2,8,0
2010-08-29 - 2010-09-04,7,2,8,0
2010-09-05 - 2010-09-11,8,3,9,1
2010-09-12 - 2010-09-18,8,3,10,1
2010-09-19 - 2010-09-25,8,3,9,1
2010-09-26 - 2010-10-02,8,3,10,1
2010-10-03 - 2010-10-09,10,3,11,1
2010-10-10 - 2010-10-16,11,3,12,1
2010-10-17 - 2010-10-23,12,3,14,1
2010-10-24 - 2010-10-30,12,4,15,1
2010-10-31 - 2010-11-06,13,4,16,1
2010-11-07 - 2010-11-13,15,5,18,1
2010-11-14 - 2010-11-20,16,5,20,2
2010-11-21 - 2010-11-27,19,6,23,3
2010-11-28 - 2010-12-04,24,7,30,4
2010-12-05 - 2010-12-11,25,7,32,4
2010-12-12 - 2010-12-18,25,7,33,4
2010-12-19 - 2010-12-25,25,7,36,5
2010-12-26 - 2011-01-01,27,8,51,7
2011-01-02 - 2011-01-08,23,7,45,5
2011-01-09 - 2011-01-15,20,6,40,5
2011-01-16 - 2011-01-22,18,6,37,4
2011-01-23 - 2011-01-29,17,6,36,4
2011-01-30 - 2011-02-05,18,6,35,4
2011-02-06 - 2011-02-12,14,5,33,3
2011-02-13 - 2011-02-19,13,4,30,3
2011-02-20 - 2011-02-26,13,4,29,2
2011-02-27 - 2011-03-05,12,3,25,2
2011-03-06 - 2011-03-12,10,3,21,1
2011-03-13 - 2011-03-19,8,3,15,1
2011-03-20 - 2011-03-26,7,3,14,1
2011-03-27 - 2011-04-02,6,2,11,1
2011-04-03 - 2011-04-09,5,2,9,1
2011-04-10 - 2011-04-16,4,2,8,0
2011-04-17 - 2011-04-23,4,2,7,0
2011-04-24 - 2011-04-30,4,1,7,0
2011-05-01 - 2011-05-07,3,1,6,0
2011-05-08 - 2011-05-14,3,1,6,0
2011-05-15 - 2011-05-21,3,1,6,0
2011-05-22 - 2011-05-28,3,1,6,0
2011-05-29 - 2011-06-04,3,1,6,0
2011-06-05 - 2011-06-11,3,1,6,0
2011-06-12 - 2011-06-18,3,1,6,0
2011-06-19 - 2011-06-25,4,1,6,0
2011-06-26 - 2011-07-02,3,1,5,0
2011-07-03 - 2011-07-09,4,1,6,0
2011-07-10 - 2011-07-16,4,2,6,0
2011-07-17 - 2011-07-23,4,2,6,0
2011-07-24 - 2011-07-30,4,2,7,0
2011-07-31 - 2011-08-06,4,2,6,0
2011-08-07 - 2011-08-13,5,2,6,0
2011-08-14 - 2011-08-20,5,2,7,0
2011-08-21 - 2011-08-27,5,2,7,0
2011-08-28 - 2011-09-03,5,2,8,0
2011-09-04 - 2011-09-10,6,2,8,0
2011-09-11 - 2011-09-17,6,2,8,1
2011-09-18 - 2011-09-24,7,2,9,1
2011-09-25 - 2011-10-01,7,2,9,1
2011-10-02 - 2011-10-08,8,3,10,1
2011-10-09 - 2011-10-15,9,3,11,1
2011-10-16 - 2011-10-22,10,3,13,1
2011-10-23 - 2011-10-29,10,3,13,1
2011-10-30 - 2011-11-05,11,4,14,1
2011-11-06 - 2011-11-12,12,4,16,2
2011-11-13 - 2011-11-19,13,4,18,2
2011-11-20 - 2011-11-26,14,4,19,2
2011-11-27 - 2011-12-03,15,5,21,2
2011-12-04 - 2011-12-10,16,5,24,3
2011-12-11 - 2011-12-17,17,5,26,3
2011-12-18 - 2011-12-24,17,5,30,3
2011-12-25 - 2011-12-31,18,6,39,4
2012-01-01 - 2012-01-07,16,5,39,3
2012-01-08 - 2012-01-14,16,5,38,3
2012-01-15 - 2012-01-21,16,5,41,3
2012-01-22 - 2012-01-28,16,5,38,3
2012-01-29 - 2012-02-04,16,5,35,3
2012-02-05 - 2012-02-11,14,4,33,3
2012-02-12 - 2012-02-18,14,4,29,3
2012-02-19 - 2012-02-25,12,4,29,2
2012-02-26 - 2012-03-03,10,3,23,2
2012-03-04 - 2012-03-10,9,3,21,1
2012-03-11 - 2012-03-17,7,2,18,1
2012-03-18 - 2012-03-24,6,2,14,1
2012-03-25 - 2012-03-31,5,2,11,1
2012-04-01 - 2012-04-07,4,2,10,0
2012-04-08 - 2012-04-14,4,1,8,0
2012-04-15 - 2012-04-21,4,1,7,0
2012-04-22 - 2012-04-28,4,1,7,0
2012-04-29 - 2012-05-05,5,2,7,0
2012-05-06 - 2012-05-12,5,2,6,0
2012-05-13 - 2012-05-19,5,1,5,0
2012-05-20 - 2012-05-26,4,1,5,0
2012-05-27 - 2012-06-02,4,1,5,0
2012-06-03 - 2012-06-09,4,1,5,0
2012-06-10 - 2012-06-16,3,1,5,0
2012-06-17 - 2012-06-23,3,1,5,0
2012-06-24 - 2012-06-30,3,1,5,0
2012-07-01 - 2012-07-07,3,1,6,0
2012-07-08 - 2012-07-14,4,1,6,0
2012-07-15 - 2012-07-21,4,1,6,0
2012-07-22 - 2012-07-28,4,1,6,0
2012-07-29 - 2012-08-04,4,1,6,0
2012-08-05 - 2012-08-11,4,1,6,0
2012-08-12 - 2012-08-18,4,1,7,0
2012-08-19 - 2012-08-25,5,2,7,0
2012-08-26 - 2012-09-01,5,2,7,0
2012-09-02 - 2012-09-08,5,2,7,0
2012-09-09 - 2012-09-15,5,2,8,0
2012-09-16 - 2012-09-22,6,2,8,0
2012-09-23 - 2012-09-29,6,2,8,1
2012-09-30 - 2012-10-06,6,2,9,1
2012-10-07 - 2012-10-13,7,2,10,1
2012-10-14 - 2012-10-20,7,2,11,1
2012-10-21 - 2012-10-27,8,2,12,1
2012-10-28 - 2012-11-03,9,2,13,1
2012-11-04 - 2012-11-10,10,3,14,1
2012-11-11 - 2012-11-17,10,3,15,1
2012-11-18 - 2012-11-24,11,3,16,1
2012-11-25 - 2012-12-01,12,3,20,2
2012-12-02 - 2012-12-08,14,4,24,2
2012-12-09 - 2012-12-15,16,4,27,3
2012-12-16 - 2012-12-22,15,4,28,3
2012-12-23 - 2012-12-29,17,5,38,5
2012-12-30 - 2013-01-05,17,5,42,5
2013-01-06 - 2013-01-12,15,5,38,4
2013-01-13 - 2013-01-19,15,4,38,4
2013-01-20 - 2013-01-26,16,5,37,4
2013-01-27 - 2013-02-02,14,4,33,3
2013-02-03 - 2013-02-09,12,4,33,3
2013-02-10 - 2013-02-16,12,3,33,4
2013-02-17 - 2013-02-23,11,3,29,3
2013-02-24 - 2013-03-02,10,3,25,3
2013-03-03 - 2013-03-09,8,2,22,2
2013-03-10 - 2013-03-16,7,2,19,1
2013-03-17 - 2013-03-23,6,2,17,1
2013-03-24 - 2013-03-30,6,2,14,1
2013-03-31 - 2013-04-06,5,1,11,1
2013-04-07 - 2013-04-13,4,1,8,0
2013-04-14 - 2013-04-20,3,1,7,0
2013-04-21 - 2013-04-27,3,1,6,0
2013-04-28 - 2013-05-04,2,1,6,0
2013-05-05 - 2013-05-11,2,1,5,0
2013-05-12 - 2013-05-18,2,1,5,0
2013-05-19 - 2013-05-25,2,1,5,0
2013-05-26 - 2013-06-01,2,1,5,0
2013-06-02 - 2013-06-08,2,1,5,0
2013-06-09 - 2013-06-15,2,1,5,0
2013-06-16 - 2013-06-22,2,1,5,0
2013-06-23 - 2013-06-29,2,1,5,0
2013-06-30 - 2013-07-06,2,1,5,0
2013-07-07 - 2013-07-13,3,1,5,0
2013-07-14 - 2013-07-20,3,1,6,0
2013-07-21 - 2013-07-27,3,1,6,0
2013-07-28 - 2013-08-03,3,1,6,0
2013-08-04 - 2013-08-10,3,1,6,0
2013-08-11 - 2013-08-17,3,1,7,0
2013-08-18 - 2013-08-24,4,1,7,0
2013-08-25 - 2013-08-31,4,1,7,0
2013-09-01 - 2013-09-07,4,1,7,0
2013-09-08 - 2013-09-14,4,1,8,0
2013-09-15 - 2013-09-21,4,1,8,0
2013-09-22 - 2013-09-28,5,1,8,1
2013-09-29 - 2013-10-05,5,2,9,1
2013-10-06 - 2013-10-12,6,2,10,1
2013-10-13 - 2013-10-19,6,2,10,1
2013-10-20 - 2013-10-26,7,2,11,1
2013-10-27 - 2013-11-02,7,2,12,1
2013-11-03 - 2013-11-09,8,2,13,1
2013-11-10 - 2013-11-16,9,3,16,1
2013-11-17 - 2013-11-23,10,3,18,2
2013-11-24 - 2013-11-30,12,3,22,2
2013-12-01 - 2013-12-07,13,4,23,3
2013-12-08 - 2013-12-14,14,4,26,3
2013-12-15 - 2013-12-21,14,4,29,3
2013-12-22 - 2013-12-28,14,4,37,4
2013-12-29 - 2014-01-04,15,4,52,5
2014-01-05 - 2014-01-11,13,4,38,3
2014-01-12 - 2014-01-18,12,4,35,3
2014-01-19 - 2014-01-25,12,4,36,3
2014-01-26 - 2014-02-01,12,4,37,3
2014-02-02 - 2014-02-08,15,7,41,3
2014-02-09 - 2014-02-15,27,14,65,4
2014-02-16 - 2014-02-22,21,7,52,3
2014-02-23 - 2014-03-01,11,4,30,2
2014-03-02 - 2014-03-08,8,3,23,2
2014-03-09 - 2014-03-15,7,2,19,2
2014-03-16 - 2014-03-22,5,2,15,1
2014-03-23 - 2014-03-29,4,2,13,1
2014-03-30 - 2014-04-05,4,1,10,1
2014-04-06 - 2014-04-12,3,1,8,0
2014-04-13 - 2014-04-19,3,1,7,0
2014-04-20 - 2014-04-26,2,1,6,0
2014-04-27 - 2014-05-03,2,1,6,0
2014-05-04 - 2014-05-10,2,1,5,0
2014-05-11 - 2014-05-17,2,1,5,0
2014-05-18 - 2014-05-24,2,1,5,0
2014-05-25 - 2014-05-31,2,1,5,0
2014-06-01 - 2014-06-07,2,1,5,0
2014-06-08 - 2014-06-14,2,1,5,0
2014-06-15 - 2014-06-21,2,1,5,0
2014-06-22 - 2014-06-28,2,1,5,0
2014-06-29 - 2014-07-05,2,1,5,0
2014-07-06 - 2014-07-12,2,1,5,0
2014-07-13 - 2014-07-19,2,1,5,0
2014-07-20 - 2014-07-26,2,1,6,0
2014-07-27 - 2014-08-02,3,1,6,0
2014-08-03 - 2014-08-09,3,1,6,0
2014-08-10 - 2014-08-16,3,1,6,0
2014-08-17 - 2014-08-23,3,1,6,0
2014-08-24 - 2014-08-30,3,1,6,0
2014-08-31 - 2014-09-06,3,1,6,0
2014-09-07 - 2014-09-13,4,1,7,0
2014-09-14 - 2014-09-20,4,1,7,1
2014-09-21 - 2014-09-27,4,1,7,0
2014-09-28 - 2014-10-04,4,1,8,1
2014-10-05 - 2014-10-11,5,1,9,1
2014-10-12 - 2014-10-18,5,2,10,1
2014-10-19 - 2014-10-25,6,2,10,1
2014-10-26 - 2014-11-01,6,2,11,1
2014-11-02 - 2014-11-08,7,2,13,1
2014-11-09 - 2014-11-15,8,2,14,1
2014-11-16 - 2014-11-22,9,3,17,2
2014-11-23 - 2014-11-29,10,3,18,2
2014-11-30 - 2014-12-06,11,3,22,2
2014-12-07 - 2014-12-13,12,4,28,2


Top regions for snowboard
Region,snowboard,snowboarding,Skiing,Snowshoe
Andorra,100,0,95,0
Slovakia,59,38,34,9
Czech Republic,55,41,60,15
Switzerland,50,22,16,100
Norway,50,23,31,5
Canada,47,100,27,53
Austria,36,21,23,34
United States,29,82,20,23
